/home/varuzza/git/BAMFold/BAMFolder/data/DH10B_WithDup_FinalEdit_validated.fasta /home/varuzza/git/BAMFold/BAMFolder/data/ecoli400_out.unpadded.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[COV R]	[COV Q]	[FRM]	[TAGS]
1	15776	27155	42930	15776	15776	99.99	0.34	36.75	1	1	1	ecoli400_c59
15538	16743	1	1206	1206	1206	99.75	0.03	50.19	1	1	1	ecoli400_rep_c144
16270	20165	1	3896	3896	3896	99.97	0.08	100.00	1	1	1	ecoli400_c87
19797	20564	76570	75803	768	768	100.00	0.02	0.40	1	-1	1	ecoli400_c3
20220	100363	1	80139	80144	80139	99.98	1.71	100.00	1	1	1	ecoli400_c38
100398	103836	1	3438	3439	3438	99.97	0.07	99.80	1	1	1	ecoli400_c94
103836	123999	20165	1	20164	20165	99.98	0.43	100.00	1	-1	1	ecoli400_c39
123491	138684	1	15195	15194	15195	99.97	0.32	11.50	1	1	1	ecoli400_c7
138701	198221	130412	189936	59521	59525	99.97	1.27	31.34	1	1	1	ecoli400_c3
197730	199015	1286	1	1286	1286	98.68	0.03	0.68	1	-1	1	ecoli400_c3
198590	201440	1	2850	2851	2850	99.30	0.06	100.00	1	1	1	ecoli400_rep_c137
201191	202707	1	1517	1517	1517	99.47	0.03	100.00	1	1	1	ecoli400_rep_c140
202303	222370	1	20069	20068	20069	99.98	0.43	100.00	1	1	1	ecoli400_c30
222311	244242	1	21930	21932	21930	99.99	0.47	100.00	1	1	1	ecoli400_c66
243853	247642	32451	36240	3790	3790	99.95	0.08	10.46	1	1	1	ecoli400_c31
247277	248299	56	1078	1023	1023	99.90	0.02	94.90	1	1	1	ecoli400_rep_c141
248187	252982	1	4797	4796	4797	99.98	0.10	100.00	1	1	1	ecoli400_c108
252891	256526	1	3637	3636	3637	99.89	0.08	100.00	1	1	1	ecoli400_c104
257290	260982	1	3693	3693	3693	99.89	0.08	100.00	1	1	1	ecoli400_c126
262026	262955	930	1	930	930	100.00	0.02	1.52	1	-1	1	ecoli400_c24
262931	263469	1	539	539	539	100.00	0.01	0.59	1	1	1	ecoli400_c43
263098	265804	2708	1	2707	2708	99.96	0.06	100.00	1	-1	1	ecoli400_c120
265409	265899	4307	4797	491	491	100.00	0.01	10.24	1	1	1	ecoli400_c108
265818	290395	1	24574	24578	24574	99.97	0.52	100.00	1	1	1	ecoli400_c33
290071	291253	1183	1	1183	1183	100.00	0.03	100.00	1	-1	1	ecoli400_rep_c153
290878	316033	1	25155	25156	25155	99.99	0.54	100.00	1	1	1	ecoli400_c15
315990	320182	4196	1	4193	4196	99.93	0.09	100.00	1	-1	1	ecoli400_c83
319812	320596	55129	55913	785	785	99.87	0.02	1.40	1	1	1	ecoli400_c2
320441	320812	16519	16890	372	372	100.00	0.01	2.20	1	1	1	ecoli400_c42
320759	330629	1	9871	9871	9871	99.98	0.21	100.00	1	1	1	ecoli400_c52
330270	331452	1	1183	1183	1183	100.00	0.03	100.00	1	1	1	ecoli400_rep_c153
331157	419568	88413	1	88412	88413	99.99	1.89	100.00	1	-1	1	ecoli400_c19
419254	447282	28034	6	28029	28029	99.99	0.60	99.98	1	-1	1	ecoli400_c72
447256	464653	17401	1	17398	17401	99.95	0.37	100.00	1	-1	1	ecoli400_c28
464028	498368	57792	92133	34341	34342	99.89	0.73	37.27	1	1	1	ecoli400_c1
498111	505702	7592	1	7592	7592	100.00	0.16	100.00	1	-1	1	ecoli400_c65
505403	506585	1183	1	1183	1183	100.00	0.03	100.00	1	-1	1	ecoli400_rep_c153
506176	513482	7308	1	7307	7308	99.99	0.16	100.00	1	-1	1	ecoli400_c88
513143	514162	59	1078	1020	1020	100.00	0.02	94.62	1	1	1	ecoli400_rep_c141
514010	515682	1670	1	1673	1670	99.82	0.04	100.00	1	-1	1	ecoli400_rep_c149
515010	516494	1	1485	1485	1485	100.00	0.03	99.80	1	1	1	ecoli400_c129
516109	517462	1354	2	1354	1353	99.93	0.03	99.93	1	-1	1	ecoli400_rep_c154
